,Season,Emergency_Stage,Waiting_Time,People_Waiting,Weekday,Day,Month,Yesterday_Waiting_Time
1,autumn,4.0,9.919607843137255,0.058823529411764705,3.0,16.0,11.0,13.905884879725086
2,autumn,4.0,17.54278294149809,0.2565609622744669,4.0,17.0,11.0,9.919607843137255
3,autumn,4.0,26.21278445006321,0.2705831226295828,5.0,18.0,11.0,17.54278294149809
4,autumn,4.0,15.230277185501066,0.1360798050563509,6.0,19.0,11.0,26.21278445006321
5,autumn,4.0,33.51521661296098,0.09344790547798065,0.0,20.0,11.0,15.230277185501066
6,autumn,4.0,27.478832762241627,0.23598983088316572,1.0,21.0,11.0,33.51521661296098
7,autumn,4.0,16.242307692307694,0.0875,2.0,22.0,11.0,27.478832762241627
8,autumn,4.0,15.339770723104056,0.07402998236331569,3.0,23.0,11.0,16.242307692307694
9,autumn,4.0,15.431521739130435,0.14534161490683228,4.0,24.0,11.0,15.339770723104056
10,autumn,4.0,22.861201501877346,0.1014601585314977,5.0,25.0,11.0,15.431521739130435
11,autumn,4.0,27.573170731707314,0.15093672675857192,6.0,26.0,11.0,22.861201501877346
12,autumn,4.0,12.795598234522249,0.05379935583919838,0.0,27.0,11.0,27.573170731707314
13,autumn,4.0,21.570154258886653,0.19899396378269618,1.0,28.0,11.0,12.795598234522249
14,autumn,4.0,25.778375149342892,0.23735563520509756,2.0,29.0,11.0,21.570154258886653
15,autumn,4.0,10.531531531531531,0.0945945945945946,3.0,30.0,11.0,25.778375149342892
16,autumn,4.0,19.66418650793651,0.07316468253968253,4.0,1.0,12.0,10.531531531531531
17,autumn,4.0,20.725820159782423,0.14218935917049125,5.0,2.0,12.0,19.66418650793651
18,autumn,4.0,24.013717805151174,0.13617821148616222,6.0,3.0,12.0,20.725820159782423
19,autumn,4.0,18.621061515378845,0.1888597149287322,0.0,4.0,12.0,24.013717805151174
20,autumn,4.0,16.03279220779221,0.1646103896103896,1.0,5.0,12.0,18.621061515378845
21,autumn,4.0,49.263513513513516,0.19239694239694238,2.0,6.0,12.0,16.03279220779221
22,autumn,4.0,30.240626710454297,0.06397099069512863,3.0,7.0,12.0,49.263513513513516
23,autumn,4.0,20.542940647482013,0.2223021582733813,4.0,8.0,12.0,30.240626710454297
24,autumn,4.0,19.380657327586206,0.18799389367816094,5.0,9.0,12.0,20.542940647482013
25,autumn,4.0,19.827664005553626,0.11827490454703228,6.0,10.0,12.0,19.380657327586206
26,autumn,4.0,16.824612620705143,0.17083988322479227,0.0,11.0,12.0,19.827664005553626
27,autumn,4.0,63.75469367588933,0.5074604743083004,1.0,12.0,12.0,16.824612620705143
28,autumn,4.0,29.63273340832396,0.20686867266591677,2.0,13.0,12.0,63.75469367588933
29,autumn,4.0,22.473529411764705,0.21323529411764708,3.0,14.0,12.0,29.63273340832396
30,autumn,4.0,26.801853171774766,0.181872178664766,4.0,15.0,12.0,22.473529411764705
31,autumn,4.0,14.071867007672633,0.13273657289002558,5.0,16.0,12.0,26.801853171774766
32,autumn,4.0,21.840676137385362,0.2686117604747348,6.0,17.0,12.0,14.071867007672633
33,autumn,4.0,16.919143800813007,0.15942581300813008,0.0,18.0,12.0,21.840676137385362
34,autumn,4.0,19.616802351876977,0.13212347354138398,1.0,19.0,12.0,16.919143800813007
35,autumn,4.0,17.076862886722044,0.11315757794631034,2.0,20.0,12.0,19.616802351876977
36,winter,4.0,23.540357142857143,0.16535714285714287,3.0,21.0,12.0,17.076862886722044
37,winter,4.0,29.169191919191917,0.10840548340548341,4.0,22.0,12.0,23.540357142857143
38,winter,4.0,20.72635135135135,0.07939189189189189,5.0,23.0,12.0,29.169191919191917
39,winter,4.0,19.75121905476369,0.179576144036009,6.0,24.0,12.0,20.72635135135135
40,winter,4.0,27.44873371035161,0.23039095156134742,0.0,25.0,12.0,19.75121905476369
41,winter,4.0,29.68806818181818,0.5204545454545455,1.0,26.0,12.0,27.44873371035161
42,winter,4.0,23.971094527363185,0.2580597014925373,2.0,27.0,12.0,29.68806818181818
43,winter,4.0,18.549960815047022,0.19592476489028213,3.0,28.0,12.0,23.971094527363185
44,winter,4.0,28.75,0.45454545454545453,4.0,29.0,12.0,18.549960815047022
45,winter,4.0,29.55717893217893,0.23484848484848483,5.0,30.0,12.0,28.75
46,winter,4.0,13.447225484439226,0.0916030534351145,6.0,31.0,12.0,29.55717893217893
47,winter,4.0,16.182224025974026,0.12589285714285714,0.0,1.0,1.0,13.447225484439226
48,winter,4.0,20.966911764705884,0.145249766573296,1.0,2.0,1.0,16.182224025974026
49,winter,4.0,22.828092959671906,0.17464114832535885,2.0,3.0,1.0,20.966911764705884
50,winter,4.0,32.37912799481977,0.5221958414274408,3.0,4.0,1.0,22.828092959671906
51,winter,4.0,16.532738095238095,0.1738095238095238,4.0,5.0,1.0,32.37912799481977
52,winter,4.0,38.35398230088496,0.25520693662286587,5.0,6.0,1.0,16.532738095238095
53,winter,4.0,29.271957671957672,0.09576719576719578,6.0,7.0,1.0,38.35398230088496
54,winter,4.0,9.072083333333333,0.093125,0.0,8.0,1.0,29.271957671957672
55,winter,4.0,20.646902654867255,0.048672566371681415,1.0,9.0,1.0,9.072083333333333
56,winter,4.0,38.34464285714286,0.37470238095238095,2.0,10.0,1.0,20.646902654867255
57,winter,4.0,19.967576509511993,0.20599669148056246,3.0,11.0,1.0,38.34464285714286
58,winter,4.0,22.644522144522142,0.07657342657342658,4.0,12.0,1.0,19.967576509511993
59,winter,4.0,29.085258525852588,0.30017287443030016,5.0,13.0,1.0,22.644522144522142
60,winter,4.0,32.50506072874494,0.2082610372084056,6.0,14.0,1.0,29.085258525852588
61,winter,4.0,43.711920990402,0.4342745861733204,0.0,15.0,1.0,32.50506072874494
62,winter,4.0,56.82424242424242,0.04772727272727273,1.0,16.0,1.0,43.711920990402
63,winter,4.0,27.772727272727273,0.29504504504504503,2.0,17.0,1.0,56.82424242424242
64,winter,4.0,32.95892922625596,0.17198386505317198,3.0,18.0,1.0,27.772727272727273
65,winter,4.0,32.95892922625596,0.17198386505317198,4.0,19.0,1.0,32.95892922625596
66,winter,4.0,32.95892922625596,0.17198386505317198,5.0,20.0,1.0,32.95892922625596
67,winter,4.0,32.95892922625596,0.17198386505317198,6.0,21.0,1.0,32.95892922625596
68,winter,4.0,38.763814616755795,0.21880570409982175,0.0,22.0,1.0,32.95892922625596
69,winter,4.0,21.475806451612904,0.07758417706616436,1.0,23.0,1.0,38.763814616755795
70,winter,4.0,14.266666666666666,0.174390243902439,2.0,24.0,1.0,21.475806451612904
71,winter,4.0,34.890294771968854,0.29991657397107896,3.0,25.0,1.0,14.266666666666666
72,winter,4.0,18.697740112994353,0.08898305084745763,4.0,26.0,1.0,34.890294771968854
73,winter,4.0,16.50568181818182,0.09659090909090909,5.0,27.0,1.0,18.697740112994353
74,winter,4.0,11.611264405129038,0.1485148514851485,6.0,28.0,1.0,16.50568181818182
75,winter,4.0,16.06998491704374,0.14306184012066364,0.0,29.0,1.0,11.611264405129038
76,winter,4.0,25.013461538461538,0.20384615384615384,1.0,30.0,1.0,16.06998491704374
77,winter,4.0,16.346875,0.07740384615384616,2.0,31.0,1.0,25.013461538461538
78,winter,4.0,22.38494983277592,0.16906354515050168,3.0,1.0,2.0,16.346875
79,winter,4.0,30.529009608277903,0.2892184035476718,4.0,2.0,2.0,22.38494983277592
80,winter,4.0,14.521032166843408,0.11382113821138211,5.0,3.0,2.0,30.529009608277903
81,winter,4.0,24.21786492374728,0.15490196078431373,6.0,4.0,2.0,14.521032166843408
82,winter,4.0,20.798412698412697,0.24656084656084654,0.0,5.0,2.0,24.21786492374728
