,Season,Emergency_Stage,Waiting_Time,People_Waiting,Weekday,Day,Month,Yesterday_Waiting_Time
1,autumn,2.0,105.22058823529412,8.838235294117647,3.0,16.0,11.0,63.67688888888889
2,autumn,2.0,81.62096774193549,9.60483870967742,4.0,17.0,11.0,105.22058823529412
3,autumn,2.0,52.199113660062565,3.0362095933263817,5.0,18.0,11.0,81.62096774193549
4,autumn,2.0,33.589285714285715,2.432142857142857,6.0,19.0,11.0,52.199113660062565
5,autumn,2.0,67.5341280972417,8.738838242169237,0.0,20.0,11.0,33.589285714285715
6,autumn,2.0,64.26071428571429,6.532142857142857,1.0,21.0,11.0,67.5341280972417
7,autumn,2.0,60.684318360914105,5.642395587076438,2.0,22.0,11.0,64.26071428571429
8,autumn,2.0,70.4991554563552,6.7680822826808225,3.0,23.0,11.0,60.684318360914105
9,autumn,2.0,80.03220086936628,6.5212479981697555,4.0,24.0,11.0,70.4991554563552
10,autumn,2.0,74.84751773049645,3.8191489361702127,5.0,25.0,11.0,80.03220086936628
11,autumn,2.0,46.88230079265749,4.5737901543596164,6.0,26.0,11.0,74.84751773049645
12,autumn,2.0,62.23395532937518,6.518405428329093,0.0,27.0,11.0,46.88230079265749
13,autumn,2.0,66.17783882783883,5.808974358974359,1.0,28.0,11.0,62.23395532937518
14,autumn,2.0,47.18705035971223,4.539568345323741,2.0,29.0,11.0,66.17783882783883
15,autumn,2.0,57.81016260162602,7.061933797909408,3.0,30.0,11.0,47.18705035971223
16,autumn,2.0,58.748787636557424,4.7296829203304025,4.0,1.0,12.0,57.81016260162602
17,autumn,2.0,69.70714285714286,5.196428571428571,5.0,2.0,12.0,58.748787636557424
18,autumn,2.0,60.92803951367781,4.007168186423506,6.0,3.0,12.0,69.70714285714286
19,autumn,2.0,49.68268921095008,5.164975845410628,0.0,4.0,12.0,60.92803951367781
20,autumn,2.0,58.082142857142856,4.753571428571428,1.0,5.0,12.0,49.68268921095008
21,autumn,2.0,39.14106676170112,3.5105725825611787,2.0,6.0,12.0,58.082142857142856
22,autumn,2.0,73.64855072463769,8.47463768115942,3.0,7.0,12.0,39.14106676170112
23,autumn,2.0,90.68457407986654,5.592404337399645,4.0,8.0,12.0,73.64855072463769
24,autumn,2.0,62.02482269503547,5.475177304964539,5.0,9.0,12.0,90.68457407986654
25,autumn,2.0,60.90189125295508,4.133727344365642,6.0,10.0,12.0,62.02482269503547
26,autumn,2.0,100.59882729211088,9.86226012793177,0.0,11.0,12.0,60.90189125295508
27,autumn,2.0,126.4049806308799,10.285749861649142,1.0,12.0,12.0,100.59882729211088
28,autumn,2.0,56.93922910452126,5.118120138035913,2.0,13.0,12.0,126.4049806308799
