Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Day,Month,Season
3.0,Medicina,Urgncia Central,43.94964028776978,6.251798561151079,2,24,1,winter
3.0,Cirurgia,Urgncia Central,50.69402985074627,3.7686567164179103,2,24,1,winter
3.0,Cirurgia,Urgncia Central,61.07936507936508,1.9682539682539681,3,25,1,winter
3.0,Medicina,Urgncia Central,137.83453237410072,11.942446043165468,3,25,1,winter
3.0,Cirurgia,Urgncia Central,65.3768115942029,1.7826086956521738,4,26,1,winter
3.0,Medicina,Urgncia Central,61.73913043478261,2.5652173913043477,4,26,1,winter
3.0,Cirurgia,Urgncia Central,56.589473684210525,2.9157894736842107,5,27,1,winter
3.0,Medicina,Urgncia Central,33.64835164835165,4.142857142857143,5,27,1,winter
3.0,Medicina,Urgncia Central,66.07801418439716,3.971631205673759,6,28,1,winter
3.0,Cirurgia,Urgncia Central,55.0354609929078,2.347517730496454,6,28,1,winter
3.0,Cirurgia,Urgncia Central,34.9609375,2.6015625,0,29,1,winter
3.0,Medicina,Urgncia Central,73.90579710144928,9.079710144927537,0,29,1,winter
3.0,Cirurgia,Urgncia Central,50.96103896103896,1.8051948051948052,1,30,1,winter
3.0,Medicina,Urgncia Central,95.0,7.929411764705883,1,30,1,winter
3.0,Medicina,Urgncia Central,77.29850746268657,8.746268656716419,2,31,1,winter
3.0,Cirurgia,Urgncia Central,30.970149253731343,1.835820895522388,2,31,1,winter
3.0,Cirurgia,Urgncia Central,64.85507246376811,3.847826086956522,3,1,2,winter
3.0,Medicina,Urgncia Central,65.59420289855072,5.478260869565218,3,1,2,winter
3.0,Medicina,Urgncia Central,79.91304347826087,9.623188405797102,4,2,2,winter
3.0,Cirurgia,Urgncia Central,51.17037037037037,1.9407407407407407,4,2,2,winter
3.0,Cirurgia,Urgncia Central,37.09848484848485,1.9848484848484849,5,3,2,winter
3.0,Medicina,Urgncia Central,64.58992805755396,3.6690647482014387,5,3,2,winter
3.0,Cirurgia,Urgncia Central,41.241134751773046,2.5886524822695036,6,4,2,winter
3.0,Medicina,Urgncia Central,90.26950354609929,8.191489361702128,6,4,2,winter
3.0,Cirurgia,Urgncia Central,49.12592592592593,1.9111111111111112,0,5,2,winter
3.0,Medicina,Urgncia Central,79.75555555555556,7.814814814814815,0,5,2,winter
3.0,Cirurgia,Urgncia Central,68.9620253164557,6.734177215189874,1,6,2,winter
3.0,Medicina,Urgncia Central,99.78481012658227,14.20253164556962,1,6,2,winter
3.0,Cirurgia,Urgncia Central,46.26428571428571,1.9,2,7,2,winter
3.0,Medicina,Urgncia Central,83.82857142857142,5.5,2,7,2,winter
3.0,Cirurgia,Urgncia Central,45.32857142857143,2.1857142857142855,3,8,2,winter
3.0,Medicina,Urgncia Central,54.607142857142854,4.664285714285715,3,8,2,winter
3.0,Cirurgia,Urgncia Central,55.02142857142857,3.05,4,9,2,winter
3.0,Medicina,Urgncia Central,53.392857142857146,3.9285714285714284,4,9,2,winter
3.0,Cirurgia,Urgncia Central,52.75539568345324,2.3956834532374103,5,10,2,winter
3.0,Medicina,Urgncia Central,102.33093525179856,11.848920863309353,5,10,2,winter
3.0,Medicina,Urgncia Central,121.0431654676259,8.39568345323741,6,11,2,winter
3.0,Cirurgia,Urgncia Central,35.52671755725191,2.030534351145038,6,11,2,winter
3.0,Cirurgia,Urgncia Central,61.73381294964029,2.776978417266187,0,12,2,winter
3.0,Medicina,Urgncia Central,208.41726618705036,17.35251798561151,0,12,2,winter
3.0,Medicina,Urgncia Central,105.56737588652483,6.652482269503546,1,13,2,winter
3.0,Cirurgia,Urgncia Central,70.53191489361703,2.2411347517730498,1,13,2,winter
3.0,Cirurgia,Urgncia Central,56.41573033707865,3.3820224719101124,2,14,2,winter
3.0,Medicina,Urgncia Central,88.35185185185185,7.796296296296297,2,14,2,winter
3.0,Cirurgia,Urgncia Central,67.81954887218045,3.0902255639097747,3,15,2,winter
3.0,Medicina,Urgncia Central,56.50359712230216,6.654676258992806,3,15,2,winter
3.0,Cirurgia,Urgncia Central,53.402877697841724,4.043165467625899,4,16,2,winter
3.0,Medicina,Urgncia Central,128.28057553956833,13.611510791366907,4,16,2,winter
3.0,Medicina,Urgncia Central,216.63333333333333,11.016666666666667,5,17,2,winter
3.0,Cirurgia,Urgncia Central,92.36206896551724,2.4827586206896552,5,17,2,winter
3.0,Cirurgia,Urgncia Central,33.11764705882353,2.6176470588235294,6,18,2,winter
3.0,Medicina,Urgncia Central,168.1764705882353,18.11764705882353,6,18,2,winter
3.0,Medicina,Urgncia Central,127.94244604316546,13.007194244604317,0,19,2,winter
3.0,Cirurgia,Urgncia Central,52.5859375,2.9921875,0,19,2,winter
3.0,Cirurgia,Urgncia Central,39.48201438848921,1.920863309352518,1,20,2,winter
3.0,Medicina,Urgncia Central,75.25179856115108,5.762589928057554,1,20,2,winter
3.0,Cirurgia,Urgncia Central,50.83582089552239,2.246268656716418,2,21,2,winter
3.0,Medicina,Urgncia Central,71.94927536231884,6.13768115942029,2,21,2,winter
3.0,Medicina,Urgncia Central,67.2,9.307142857142857,3,22,2,winter
3.0,Cirurgia,Urgncia Central,47.84892086330935,2.805755395683453,3,22,2,winter
3.0,Cirurgia,Urgncia Central,54.02173913043478,1.673913043478261,4,23,2,winter
3.0,Medicina,Urgncia Central,128.78985507246378,10.557971014492754,4,23,2,winter
3.0,Cirurgia,Urgncia Central,58.6231884057971,2.253623188405797,5,24,2,winter
3.0,Medicina,Urgncia Central,42.88405797101449,3.028985507246377,5,24,2,winter
3.0,Cirurgia,Urgncia Central,42.10569105691057,2.951219512195122,6,25,2,winter
3.0,Medicina,Urgncia Central,53.464285714285715,4.771428571428571,6,25,2,winter
3.0,Cirurgia,Urgncia Central,43.96296296296296,2.0,0,26,2,winter
3.0,Medicina,Urgncia Central,68.77536231884058,7.4855072463768115,0,26,2,winter
3.0,Medicina,Urgncia Central,84.8840579710145,5.3768115942028984,1,27,2,winter
3.0,Cirurgia,Urgncia Central,59.57462686567164,2.8955223880597014,1,27,2,winter
3.0,Cirurgia,Urgncia Central,46.589928057553955,3.3309352517985613,2,28,2,winter
3.0,Medicina,Urgncia Central,69.24285714285715,8.321428571428571,2,28,2,winter
3.0,Cirurgia,Urgncia Central,59.411764705882355,2.196078431372549,3,1,3,winter
3.0,Medicina,Urgncia Central,138.6764705882353,9.970588235294118,3,1,3,winter
3.0,Medicina,Urgncia Central,153.4855072463768,9.507246376811594,4,2,3,winter
3.0,Cirurgia,Urgncia Central,61.88321167883212,2.6861313868613137,4,2,3,winter
3.0,Medicina,Urgncia Central,23.9375,2.5078125,5,3,3,winter
3.0,Cirurgia,Urgncia Central,34.59349593495935,1.7804878048780488,5,3,3,winter
3.0,Medicina,Urgncia Central,29.864285714285714,1.5,6,4,3,winter
3.0,Cirurgia,Urgncia Central,39.26428571428571,1.9857142857142858,6,4,3,winter
3.0,Medicina,Urgncia Central,52.719424460431654,5.287769784172662,0,5,3,winter
3.0,Cirurgia,Urgncia Central,46.58273381294964,3.20863309352518,0,5,3,winter
3.0,Medicina,Urgncia Central,70.52142857142857,6.3,1,6,3,winter
3.0,Cirurgia,Urgncia Central,44.792,2.224,1,6,3,winter
3.0,Medicina,Urgncia Central,40.464285714285715,2.6714285714285713,2,7,3,winter
3.0,Cirurgia,Urgncia Central,46.17857142857143,1.8214285714285714,2,7,3,winter
3.0,Medicina,Urgncia Central,40.568345323741006,3.712230215827338,3,8,3,winter
3.0,Cirurgia,Urgncia Central,49.25547445255474,2.9416058394160585,3,8,3,winter
3.0,Cirurgia,Urgncia Central,41.802919708029194,1.364963503649635,4,9,3,winter
3.0,Medicina,Urgncia Central,69.77443609022556,4.56390977443609,4,9,3,winter
3.0,Cirurgia,Urgncia Central,37.10294117647059,1.6102941176470589,5,10,3,winter
3.0,Medicina,Urgncia Central,42.75539568345324,2.366906474820144,5,10,3,winter
3.0,Cirurgia,Urgncia Central,29.178571428571427,1.2428571428571429,6,11,3,winter
3.0,Medicina,Urgncia Central,29.02173913043478,1.673913043478261,6,11,3,winter
3.0,Cirurgia,Urgncia Central,54.22463768115942,3.1739130434782608,0,12,3,winter
3.0,Medicina,Urgncia Central,43.143884892086334,5.266187050359712,0,12,3,winter
3.0,Cirurgia,Urgncia Central,43.333333333333336,2.1231884057971016,1,13,3,winter
3.0,Medicina,Urgncia Central,51.22463768115942,4.036231884057971,1,13,3,winter
3.0,Medicina,Urgncia Central,49.9136690647482,3.179856115107914,2,14,3,winter
3.0,Cirurgia,Urgncia Central,48.121428571428574,2.2071428571428573,2,14,3,winter
3.0,Medicina,Urgncia Central,50.01428571428571,4.035714285714286,3,15,3,winter
3.0,Cirurgia,Urgncia Central,51.92857142857143,3.4285714285714284,3,15,3,winter
3.0,Cirurgia,Urgncia Central,64.48091603053435,3.053435114503817,4,16,3,winter
3.0,Medicina,Urgncia Central,61.56115107913669,4.100719424460432,4,16,3,winter
3.0,Medicina,Urgncia Central,92.59574468085107,6.304964539007092,5,17,3,winter
3.0,Cirurgia,Urgncia Central,58.765957446808514,2.1914893617021276,5,17,3,winter
3.0,Cirurgia,Urgncia Central,38.35,1.2642857142857142,6,18,3,winter
