Acquisition_Time,Season,Emergency_Stage,Waiting_Time,People_Waiting,Weekday,Month,Day
2017-11-15,autumn,4.0,13.905884879725086,0.2265463917525773,2.0,11.0,15.0
2017-11-16,autumn,4.0,9.919607843137255,0.058823529411764705,3.0,11.0,16.0
2017-11-17,autumn,4.0,17.54278294149809,0.2565609622744669,4.0,11.0,17.0
2017-11-18,autumn,4.0,26.21278445006321,0.2705831226295828,5.0,11.0,18.0
2017-11-19,autumn,4.0,15.230277185501066,0.1360798050563509,6.0,11.0,19.0
2017-11-20,autumn,4.0,33.51521661296098,0.09344790547798065,0.0,11.0,20.0
2017-11-21,autumn,4.0,27.478832762241627,0.23598983088316572,1.0,11.0,21.0
2017-11-22,autumn,4.0,16.242307692307694,0.0875,2.0,11.0,22.0
2017-11-23,autumn,4.0,15.339770723104056,0.07402998236331569,3.0,11.0,23.0
2017-11-24,autumn,4.0,15.431521739130435,0.14534161490683228,4.0,11.0,24.0
2017-11-25,autumn,4.0,22.861201501877346,0.1014601585314977,5.0,11.0,25.0
2017-11-26,autumn,4.0,27.573170731707314,0.15093672675857192,6.0,11.0,26.0
2017-11-27,autumn,4.0,12.795598234522249,0.05379935583919838,0.0,11.0,27.0
2017-11-28,autumn,4.0,21.570154258886653,0.19899396378269618,1.0,11.0,28.0
2017-11-29,autumn,4.0,25.778375149342892,0.23735563520509756,2.0,11.0,29.0
2017-11-30,autumn,4.0,10.531531531531531,0.0945945945945946,3.0,11.0,30.0
2017-12-01,autumn,4.0,19.66418650793651,0.07316468253968253,4.0,12.0,1.0
2017-12-02,autumn,4.0,20.725820159782423,0.14218935917049125,5.0,12.0,2.0
2017-12-03,autumn,4.0,24.013717805151174,0.13617821148616222,6.0,12.0,3.0
2017-12-04,autumn,4.0,18.621061515378845,0.1888597149287322,0.0,12.0,4.0
2017-12-05,autumn,4.0,16.03279220779221,0.1646103896103896,1.0,12.0,5.0
2017-12-06,autumn,4.0,49.263513513513516,0.19239694239694238,2.0,12.0,6.0
2017-12-07,autumn,4.0,30.240626710454297,0.06397099069512863,3.0,12.0,7.0
2017-12-08,autumn,4.0,20.542940647482013,0.2223021582733813,4.0,12.0,8.0
2017-12-09,autumn,4.0,19.380657327586206,0.18799389367816094,5.0,12.0,9.0
2017-12-10,autumn,4.0,19.827664005553626,0.11827490454703228,6.0,12.0,10.0
2017-12-11,autumn,4.0,16.824612620705143,0.17083988322479227,0.0,12.0,11.0
2017-12-12,autumn,4.0,63.75469367588933,0.5074604743083004,1.0,12.0,12.0
2017-12-13,autumn,4.0,29.63273340832396,0.20686867266591677,2.0,12.0,13.0
2017-12-14,autumn,4.0,22.473529411764705,0.21323529411764708,3.0,12.0,14.0
2017-12-15,autumn,4.0,26.801853171774766,0.181872178664766,4.0,12.0,15.0
2017-12-16,autumn,4.0,14.071867007672633,0.13273657289002558,5.0,12.0,16.0
2017-12-17,autumn,4.0,21.840676137385362,0.2686117604747348,6.0,12.0,17.0
2017-12-18,autumn,4.0,16.919143800813007,0.15942581300813008,0.0,12.0,18.0
2017-12-19,autumn,4.0,19.616802351876977,0.13212347354138398,1.0,12.0,19.0
2017-12-20,autumn,4.0,17.076862886722044,0.11315757794631034,2.0,12.0,20.0
2017-12-21,winter,4.0,23.540357142857143,0.16535714285714287,3.0,12.0,21.0
2017-12-22,winter,4.0,29.169191919191917,0.10840548340548341,4.0,12.0,22.0
2017-12-23,winter,4.0,20.72635135135135,0.07939189189189189,5.0,12.0,23.0
2017-12-24,winter,4.0,19.75121905476369,0.179576144036009,6.0,12.0,24.0
2017-12-25,winter,4.0,27.44873371035161,0.23039095156134742,0.0,12.0,25.0
2017-12-26,winter,4.0,29.68806818181818,0.5204545454545455,1.0,12.0,26.0
2017-12-27,winter,4.0,23.971094527363185,0.2580597014925373,2.0,12.0,27.0
2017-12-28,winter,4.0,18.549960815047022,0.19592476489028213,3.0,12.0,28.0
2017-12-29,winter,4.0,28.75,0.45454545454545453,4.0,12.0,29.0
2017-12-30,winter,4.0,29.55717893217893,0.23484848484848483,5.0,12.0,30.0
2017-12-31,winter,4.0,13.447225484439226,0.0916030534351145,6.0,12.0,31.0
2018-01-01,winter,4.0,16.182224025974026,0.12589285714285714,0.0,1.0,1.0
2018-01-02,winter,4.0,20.966911764705884,0.145249766573296,1.0,1.0,2.0
2018-01-03,winter,4.0,22.828092959671906,0.17464114832535885,2.0,1.0,3.0
2018-01-04,winter,4.0,32.37912799481977,0.5221958414274408,3.0,1.0,4.0
2018-01-05,winter,4.0,16.532738095238095,0.1738095238095238,4.0,1.0,5.0
2018-01-06,winter,4.0,38.35398230088496,0.25520693662286587,5.0,1.0,6.0
2018-01-07,winter,4.0,29.271957671957672,0.09576719576719578,6.0,1.0,7.0
2018-01-08,winter,4.0,9.072083333333333,0.093125,0.0,1.0,8.0
2018-01-09,winter,4.0,20.646902654867255,0.048672566371681415,1.0,1.0,9.0
2018-01-10,winter,4.0,38.34464285714286,0.37470238095238095,2.0,1.0,10.0
2018-01-11,winter,4.0,19.967576509511993,0.20599669148056246,3.0,1.0,11.0
