Acquisition_Time,Season,Emergency_Stage,Waiting_Time,People_Waiting,Weekday,Day,Month
2018-01-18,winter,1.0,143.13714574898785,1.4676113360323886,3.0,18.0,1.0
2018-01-19,winter,1.0,143.13714574898785,1.4676113360323886,4.0,19.0,1.0
2018-01-20,winter,1.0,143.13714574898785,1.4676113360323886,5.0,20.0,1.0
2018-01-21,winter,1.0,143.13714574898785,1.4676113360323886,6.0,21.0,1.0
2018-01-22,winter,1.0,97.76131248519309,1.1937929400615968,0.0,22.0,1.0
2018-01-23,winter,1.0,143.16301824212272,1.0910447761194029,1.0,23.0,1.0
2018-01-24,winter,1.0,120.33530455351863,1.343169722057954,2.0,24.0,1.0
2018-01-25,winter,1.0,116.35644060995185,0.536416532905297,3.0,25.0,1.0
2018-01-26,winter,1.0,83.58519437551695,0.2568238213399504,4.0,26.0,1.0
2018-01-27,winter,1.0,47.34126984126984,0.4365079365079365,5.0,27.0,1.0
2018-01-28,winter,1.0,175.42100065832784,0.4981347377660742,6.0,28.0,1.0
2018-01-29,winter,1.0,105.06862451303567,1.5172310458495655,0.0,29.0,1.0
2018-01-30,winter,1.0,169.7201309328969,0.7804828150572831,1.0,30.0,1.0
2018-01-31,winter,1.0,81.06060606060606,0.4366883116883117,2.0,31.0,1.0
2018-02-01,winter,1.0,103.58333333333333,1.0549019607843138,3.0,1.0,2.0
2018-02-02,winter,1.0,211.38208830299226,1.5720862105042894,4.0,2.0,2.0
2018-02-03,winter,1.0,117.91401037805782,1.3615023474178403,5.0,3.0,2.0
2018-02-04,winter,1.0,166.15216579536968,1.1712098581030619,6.0,4.0,2.0
2018-02-05,winter,1.0,75.35,0.10625,0.0,5.0,2.0
2018-02-06,winter,1.0,97.07006651884701,0.6456762749445677,1.0,6.0,2.0
2018-02-07,winter,1.0,120.09581514376035,0.9099804305283758,2.0,7.0,2.0
2018-02-08,winter,1.0,92.8069556451613,1.810483870967742,3.0,8.0,2.0
2018-02-09,winter,1.0,76.90797940797941,0.8883526383526383,4.0,9.0,2.0
2018-02-10,winter,1.0,86.4151936026936,0.6492003367003367,5.0,10.0,2.0
2018-02-11,winter,1.0,152.48728465955702,0.18560295324036097,6.0,11.0,2.0
2018-02-12,winter,1.0,168.27701674277017,0.6820395738203957,0.0,12.0,2.0
2018-02-13,winter,1.0,190.72880116959067,0.9253341687552215,1.0,13.0,2.0
2018-02-14,winter,1.0,118.45833333333333,0.37359943977591037,2.0,14.0,2.0
2018-02-15,winter,1.0,62.72670250896057,0.3607128634010354,3.0,15.0,2.0
2018-02-16,winter,1.0,84.78169934640522,1.4294117647058824,4.0,16.0,2.0
2018-02-17,winter,1.0,239.2111111111111,0.96,5.0,17.0,2.0
2018-02-18,winter,1.0,266.5952380952381,1.0714285714285714,6.0,18.0,2.0
2018-02-19,winter,1.0,149.90512820512822,0.96999306999307,0.0,19.0,2.0
2018-02-20,winter,1.0,147.09798534798534,1.467032967032967,1.0,20.0,2.0
