Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Month,Season,Day
4.0,Cirurgia,Urgncia Central,35.52173913043478,0.10144927536231885,4,12,autumn,
4.0,Medicina,Urgncia Central,5.826086956521739,0.14782608695652175,5,12,autumn,16.0
4.0,Cirurgia,Urgncia Central,22.31764705882353,0.11764705882352941,5,12,autumn,
4.0,Cirurgia,Urgncia Central,25.08433734939759,0.1566265060240964,6,12,autumn,
4.0,Medicina,Urgncia Central,18.597014925373134,0.3805970149253731,6,12,autumn,17.0
4.0,Medicina,Urgncia Central,11.260162601626016,0.16260162601626016,0,12,autumn,18.0
4.0,Cirurgia,Urgncia Central,22.578125,0.15625,0,12,autumn,
4.0,Medicina,Urgncia Central,16.651515151515152,0.20454545454545456,1,12,autumn,19.0
4.0,Cirurgia,Urgncia Central,22.582089552238806,0.05970149253731343,1,12,autumn,
4.0,Cirurgia,Urgncia Central,26.760563380281692,0.14084507042253522,2,12,autumn,
4.0,Medicina,Urgncia Central,7.3931623931623935,0.08547008547008547,2,12,autumn,20.0
4.0,Cirurgia,Urgncia Central,36.67,0.17,3,12,winter,
4.0,Medicina,Urgncia Central,10.410714285714286,0.16071428571428573,3,12,winter,21.0
4.0,Cirurgia,Urgncia Central,44.72727272727273,0.07792207792207792,4,12,winter,
4.0,Medicina,Urgncia Central,13.61111111111111,0.1388888888888889,4,12,winter,22.0
4.0,Medicina,Urgncia Central,12.36936936936937,0.11711711711711711,5,12,winter,23.0
4.0,Cirurgia,Urgncia Central,29.083333333333332,0.041666666666666664,5,12,winter,
4.0,Cirurgia,Urgncia Central,17.13953488372093,0.09302325581395349,6,12,winter,
4.0,Medicina,Urgncia Central,22.362903225806452,0.2661290322580645,6,12,winter,24.0
4.0,Medicina,Urgncia Central,11.36734693877551,0.1836734693877551,0,12,winter,25.0
4.0,Cirurgia,Urgncia Central,43.53012048192771,0.27710843373493976,0,12,winter,
4.0,Medicina,Urgncia Central,20.563636363636363,0.7909090909090909,1,12,winter,26.0
4.0,Cirurgia,Urgncia Central,38.8125,0.25,1,12,winter,
4.0,Medicina,Urgncia Central,14.395522388059701,0.27611940298507465,2,12,winter,27.0
4.0,Cirurgia,Urgncia Central,33.54666666666667,0.24,2,12,winter,
4.0,Medicina,Urgncia Central,15.293103448275861,0.23275862068965517,3,12,winter,28.0
4.0,Cirurgia,Urgncia Central,21.806818181818183,0.1590909090909091,3,12,winter,
4.0,Cirurgia,Urgncia Central,46.39393939393939,0.6666666666666666,4,12,winter,
4.0,Medicina,Urgncia Central,11.106060606060606,0.24242424242424243,4,12,winter,29.0
4.0,Medicina,Urgncia Central,21.682539682539684,0.3333333333333333,5,12,winter,30.0
4.0,Cirurgia,Urgncia Central,37.43181818181818,0.13636363636363635,5,12,winter,
4.0,Medicina,Urgncia Central,15.221374045801527,0.183206106870229,6,12,winter,31.0
4.0,Cirurgia,Urgncia Central,11.673076923076923,0.0,6,12,winter,
4.0,Medicina,Urgncia Central,13.409090909090908,0.1,0,1,winter,1.0
4.0,Cirurgia,Urgncia Central,18.955357142857142,0.15178571428571427,0,1,winter,
4.0,Medicina,Urgncia Central,10.058823529411764,0.19327731092436976,1,1,winter,2.0
4.0,Cirurgia,Urgncia Central,31.875,0.09722222222222222,1,1,winter,
4.0,Medicina,Urgncia Central,8.954887218045112,0.18045112781954886,2,1,winter,3.0
4.0,Cirurgia,Urgncia Central,36.701298701298704,0.16883116883116883,2,1,winter,
4.0,Cirurgia,Urgncia Central,41.73170731707317,0.3983739837398374,3,1,winter,
4.0,Medicina,Urgncia Central,23.02654867256637,0.6460176991150443,3,1,winter,4.0
4.0,Medicina,Urgncia Central,8.875,0.13333333333333333,4,1,winter,5.0
4.0,Cirurgia,Urgncia Central,24.19047619047619,0.21428571428571427,4,1,winter,
4.0,Cirurgia,Urgncia Central,53.0,0.26262626262626265,5,1,winter,
4.0,Medicina,Urgncia Central,23.707964601769913,0.24778761061946902,5,1,winter,6.0
4.0,Medicina,Urgncia Central,16.82962962962963,0.16296296296296298,6,1,winter,7.0
4.0,Cirurgia,Urgncia Central,41.714285714285715,0.02857142857142857,6,1,winter,
4.0,Medicina,Urgncia Central,7.104166666666667,0.15625,0,1,winter,8.0
4.0,Cirurgia,Urgncia Central,11.04,0.03,0,1,winter,
4.0,Cirurgia,Urgncia Central,33.4,0.0,1,1,winter,
4.0,Medicina,Urgncia Central,7.893805309734513,0.09734513274336283,1,1,winter,9.0
4.0,Medicina,Urgncia Central,7.660714285714286,0.1875,2,1,winter,10.0
4.0,Cirurgia,Urgncia Central,69.02857142857142,0.5619047619047619,2,1,winter,
