Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Day,Month,Season
1.0,Cirurgia,Urgncia Central,54.8125,0.4375,2,15,11,autumn
1.0,Medicina,Urgncia Central,135.13953488372093,0.8953488372093024,2,15,11,autumn
1.0,Medicina,Urgncia Central,171.67567567567568,0.08108108108108109,3,16,11,autumn
1.0,Cirurgia,Urgncia Central,106.84375,0.3125,3,16,11,autumn
1.0,Cirurgia,Urgncia Central,192.4313725490196,0.8627450980392157,4,17,11,autumn
1.0,Medicina,Urgncia Central,129.60416666666666,1.5208333333333333,4,17,11,autumn
1.0,Cirurgia,Urgncia Central,66.0754716981132,0.3018867924528302,5,18,11,autumn
1.0,Medicina,Urgncia Central,95.55932203389831,0.4830508474576271,5,18,11,autumn
1.0,Cirurgia,Urgncia Central,133.25806451612902,0.4838709677419355,6,19,11,autumn
1.0,Medicina,Urgncia Central,30.153846153846153,0.0,6,19,11,autumn
1.0,Medicina,Urgncia Central,135.9746835443038,1.7974683544303798,0,20,11,autumn
1.0,Cirurgia,Urgncia Central,66.12,0.2,0,20,11,autumn
1.0,Medicina,Urgncia Central,142.6413043478261,0.9130434782608695,1,21,11,autumn
1.0,Cirurgia,Urgncia Central,85.27536231884058,0.6666666666666666,1,21,11,autumn
1.0,Medicina,Urgncia Central,153.3673469387755,0.0,2,22,11,autumn
1.0,Cirurgia,Urgncia Central,51.42857142857143,0.0,2,22,11,autumn
1.0,Cirurgia,Urgncia Central,83.91044776119404,0.47761194029850745,3,23,11,autumn
1.0,Medicina,Urgncia Central,101.20689655172414,1.0172413793103448,3,23,11,autumn
1.0,Cirurgia,Urgncia Central,77.57575757575758,0.0,4,24,11,autumn
1.0,Medicina,Urgncia Central,140.32075471698113,0.6981132075471698,4,24,11,autumn
1.0,Medicina,Urgncia Central,128.57608695652175,0.32608695652173914,5,25,11,autumn
1.0,Cirurgia,Urgncia Central,29.272727272727273,0.36363636363636365,5,25,11,autumn
1.0,Cirurgia,Urgncia Central,20.4468085106383,0.1276595744680851,6,26,11,autumn
1.0,Medicina,Urgncia Central,57.557377049180324,0.03278688524590164,6,26,11,autumn
1.0,Cirurgia,Urgncia Central,104.11392405063292,0.7974683544303798,0,27,11,autumn
1.0,Medicina,Urgncia Central,130.53521126760563,2.8028169014084505,0,27,11,autumn
1.0,Medicina,Urgncia Central,148.340206185567,1.2577319587628866,1,28,11,autumn
1.0,Cirurgia,Urgncia Central,23.5,0.0,1,28,11,autumn
1.0,Cirurgia,Urgncia Central,55.32608695652174,0.2391304347826087,2,29,11,autumn
1.0,Medicina,Urgncia Central,92.8529411764706,1.0784313725490196,2,29,11,autumn
1.0,Medicina,Urgncia Central,74.62626262626263,1.3636363636363635,3,30,11,autumn
1.0,Cirurgia,Urgncia Central,51.131147540983605,0.5409836065573771,3,30,11,autumn
1.0,Cirurgia,Urgncia Central,77.62903225806451,0.24193548387096775,4,1,12,autumn
1.0,Medicina,Urgncia Central,149.15463917525773,0.4329896907216495,4,1,12,autumn
1.0,Cirurgia,Urgncia Central,94.2,0.42857142857142855,5,2,12,autumn
1.0,Medicina,Urgncia Central,207.75409836065575,1.0819672131147542,5,2,12,autumn
